"MouseID","Batch","Sex","Tester","Age.at.Test","Weight","Alopecia","Loss.of.fur.colour","Dermatitis","Loss.of.whiskers","Coat.condition","Piloerection","Cataracts","Eye.discharge.swelling","Microphthalmia","Corneal.opacity","Nasal.discharge","Rectal.prolapse","Vaginal.uterine.","Diarrhea","Vestibular.disturbance","Vision.loss..Visual.Placing.","Menace.reflex","Tail.stiffening","Gait.disorders","Tremor","Tumours","Distended.abdomen","Kyphosis","Body.condition","Breathing.rate.depth","Malocclusions","Righting.Reflex","OverallScore"
"AgedB6-0376","Batch1","Female","Scorer2",48,40.07,1,0.5,0,1,1,1,0,0,0,0,0,0,0,0,0.5,1,1,0,0,0,0,0.5,0.5,0,0,0,0,8
"AgedB6-0577","Batch1","Female","Scorer2",101,53.81,0,0,0,1,0,0.5,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,6.5
"AgedB6-0377","Batch1","Female","Scorer2",51,35.27,0.5,0.5,0,1,0.5,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0.5,1,0,0,0,0.5,8.5
"AgedB6-0378","Batch1","Female","Scorer2",51,42.39,0,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0.5,1,1,0,0,0,0,1,1,0,0,0,0,6
"AgedB6-0579","Batch1","Female","Scorer2",101,38.27,0,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0.5,1,1,0,0,0.5,0,0.5,0.5,0,0,0,0,5.5
"AgedB6-0667","Batch1","Female","Scorer3",37,32.89,0.5,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
"AgedB6-0448","Batch1","Male","Scorer1",83,36.24,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.5
"AgedB6-0668","Batch1","Female","Scorer3",37,32.31,0.5,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
"AgedB6-0449","Batch1","Male","Scorer1",83,33,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
"AgedB6-0669","Batch1","Female","Scorer3",37,26.53,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3
"AgedB6-0450","Batch1","Male","Scorer1",83,43.76,0.5,1,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0,0,0,0,4.5
